n,positives,negatives,tp,tn,fp,fn,sensitivity,specificity,balanced_accuracy,MCC,accuracy,positive_predictive_value,negative_predictive_value,replicate
24,8,16,8,0,16,0,1.0,0.0,0.5,,0.3333333333333333,0.3333333333333333,,179
19,10,9,10,0,9,0,1.0,0.0,0.5,,0.5263157894736842,0.5263157894736842,,180
31,7,24,7,2,22,0,1.0,0.08333333333333333,0.5416666666666666,0.14182715723279385,0.2903225806451613,0.2413793103448276,1.0,181
18,7,11,5,0,11,2,0.7142857142857143,0.0,0.35714285714285715,-0.44320263021395917,0.2777777777777778,0.3125,0.0,182
27,9,18,7,0,18,2,0.7777777777777778,0.0,0.3888888888888889,-0.4,0.25925925925925924,0.28,0.0,183
28,10,18,9,2,16,1,0.9,0.1111111111111111,0.5055555555555555,0.01721325931647741,0.39285714285714285,0.36,0.6666666666666666,184
35,9,26,7,4,22,2,0.7777777777777778,0.15384615384615385,0.4658119658119658,-0.07929347112667368,0.3142857142857143,0.2413793103448276,0.6666666666666666,185
26,11,15,10,2,13,1,0.9090909090909091,0.13333333333333333,0.5212121212121212,0.06560418166347888,0.46153846153846156,0.43478260869565216,0.6666666666666666,186
20,10,10,9,0,10,1,0.9,0.0,0.45,-0.22941573387056174,0.45,0.47368421052631576,0.0,187
36,11,25,11,4,21,0,1.0,0.16,0.58,0.23452078799117146,0.4166666666666667,0.34375,1.0,188
34,12,22,11,2,20,1,0.9166666666666666,0.09090909090909091,0.5037878787878788,0.012763993017791393,0.38235294117647056,0.3548387096774194,0.6666666666666666,189
23,7,16,7,2,14,0,1.0,0.125,0.5625,0.20412414523193148,0.391304347826087,0.3333333333333333,1.0,190
42,8,34,8,2,32,0,1.0,0.058823529411764705,0.5294117647058824,0.10846522890932808,0.23809523809523808,0.2,1.0,191
42,10,32,10,4,28,0,1.0,0.125,0.5625,0.18136906252750293,0.3333333333333333,0.2631578947368421,1.0,192
27,8,19,5,4,15,3,0.625,0.21052631578947367,0.41776315789473684,-0.17137765534596305,0.3333333333333333,0.25,0.5714285714285714,193
43,9,34,6,8,26,3,0.6666666666666666,0.23529411764705882,0.4509803921568627,-0.09140905301589133,0.32558139534883723,0.1875,0.7272727272727273,194
20,9,11,9,0,11,0,1.0,0.0,0.5,,0.45,0.45,,195
19,7,12,6,0,12,1,0.8571428571428571,0.0,0.42857142857142855,-0.3086066999241838,0.3157894736842105,0.3333333333333333,0.0,196
35,7,28,6,0,28,1,0.8571428571428571,0.0,0.42857142857142855,-0.3429971702850177,0.17142857142857143,0.17647058823529413,0.0,197
21,9,12,6,0,12,3,0.6666666666666666,0.0,0.3333333333333333,-0.4714045207910316,0.2857142857142857,0.3333333333333333,0.0,198
32,8,24,7,2,22,1,0.875,0.08333333333333333,0.4791666666666667,-0.061898446059017294,0.28125,0.2413793103448276,0.6666666666666666,199
30,7,23,5,0,23,2,0.7142857142857143,0.0,0.35714285714285715,-0.48445214165180484,0.16666666666666666,0.17857142857142858,0.0,200
